page,headword_khowar,transliteration,part_of_speech,english_gloss,example_no,example_khowar,example_english,
2,اسپرو,isprú,n,blossoms; smallpox,1,ژوڑی اِسپرو کوری شینی۔,The apricot trees have blossomed.,
2,اسپرو,isprú,n,blossoms; smallpox,2,ڈقوسو اسپرو نِسانی۔,The boy has smallpox.,
2,اسپسار,ispusár,n,sister,1,اِسپُسار دُوری اسورا؟,Is my younger sister at home?,We need to check the 2nd setence after it on page 2 setence 1 from right side.
2,اسپہ,ispá,adj; pron,"our; we, us",1, اِسپہ ژغہ بو اُݰاک۔,Our region is very cold.,
2,اسپہ,ispá,adj; pron,"our; we, us",2,اِسپہ گوسیان۔,We are coming.,
2,استاد,ustád,n,carpenter,1,استاد دار تَچھیران۔,The carpenter is smoothing the wood with an adze.,
2,استاذ,ustáz,n,teacher,1,اُستاذ سَباق ݯیݯھیران۔,The teacher is teaching a lesson.,
2,اسَتری,istrí,adj,"female, feminine",1,پاے اِستری چھانی اریر۔,The goat gave birth to a female kid.,
2,اسَتور,istór,n,horse,1,اِستور ہَلیئک گِران بیتی شیر۔,It has become expensive to keep a horse.,
3,اسَقار,asqár,n,lungs,1,پوُشی اَسقاری ݯوکی بوہت ہوے۔,The cat grabbed hold of the lungs of a slaughtered animal.,
3,اسَقان,asqán,adj,easy,1,لُو دیک اسقان کوریک گِران۔,"It is easy to talk, but it is hard to actually do something.",
3,اسکوردی,iskúrdi,adj,short,1,مہ پیران اِسکُوردی۔,My shirt is short.,
3,اسَکوََردی,iskurdí,n,shortness;,1,پیران مَت اَسکُوردی اریر۔,The shirt was too short for me.,
3,اسَمان,asmán,n,sky,1,اسمان ݱَنگ زمین ڈَنگ۔,The sky is high and the ground is hard.,
3,اسنیک,usneék,vi,to swim,1,ڈق چھتو اُسنینیان۔,The boys are swimming in the pond.,
3,اسنیئک,usnéik,vt,to lift,1,ہیہ بوہتو اُسنیئکو بوسا؟,Can you lift this rock?,
3,اشَپاشور,išpašúr,n,father-in-law,1,اِشپاشوُر گیتی بغاے۔,His/her/my father-in-law came and  left.,
3,اشَپریشی,išpreší,n,mother-in-law,1,اِشپریشی اوچے رُوژایو جنجال پَرانوُ۔,The quarrel between mother-in-law and daughter-in-law is old.,
3,اشَپریشی,išpreší,n,mother-in-law,2,رُوژایو اِشپریشیوتے خذمَت کوے۔,A daughter-in-law serves her mother-in-law.,
3,اشَپیرو,išpéru,adj,white,1,بو روے اِشپیرو رنگوخوشینی۔,Many people like white color.,
3,اشَپیرو,išpéru,adj,white,2,اِشپیرو پھَکوڑ جَم اِشناری۔,A white Chitrali hat is a nice thing.,
3,اشَترَوخیک,ištruxík,vi,to sneeze; to feel deprivation,1,چھوُیو روشت دیکہ پَت اِشترُوخیتام۔۔,Last night I sneezed all night.,
3,اشٹوریک,ušṭurík,vi,"to run away, escape",1,ݯھوغ پولُوسو موڑار اُشٹورتاے۔,The thief escaped from the police.,
4,اشَٹوک,išṭók,n,"play, game; dancing",1,ڈَق اِشٹوک کونیان۔,The boys are playing.,
4,اشَرو,ašrú,n,tears,1,اَشروُان غوݯار کوری مہ نسہ ہاے,Weeping a waterfall of tears he/she came to me.,
4,اشَلاک,išlák,adj,"unfermented, unleavened",1,چَپوتی اِشلاک بیراے۔ مہ ژارے نو ہوے۔,The bread turned out to be unleavened; I wasn't able to digest it.,
4,اشلوغ,išloóγ,n,"story, tale (see",,,,
4,اشَلوک,išlók,n,"piece, shaving, chip (of wood)",1,تروے اِشلوکان سورا چاے لوچھیتاے۔,Tea was made with three chips of wood.,
4,اشلوک,išlúk,adj,"dried up (of animal no longer giving milk, or of a spring or canal in which water is no longer flowing)",1,بݯھوڑ لیشوؤ دیئی اِشلُوک کاردُو۔,The calf sucked the cow dry.,
4,اشلیک,išlík,adj,smooth,1,جم اِشلیک دارو گَناس انگیے۔,Bring a nice smooth piece of wood.,
4,اشناری,išnári,n,thing,1,کیہ اِشناری مت دوسانا؟,Do you want to give me something?,
4,اݰَاک,uṣák,adj; n,cold,1,چھوُیو مہ اُݰاک اریر۔,Last night I felt cold.,
4,اݰَکما,iṣkamaá,n,stomach,1,ڈَقو اِݰکما ݯھَموُران۔,The boy's stomach is hurting.,
4,اݰَکما,iṣkamaá,n,stomach,2,ہے موشو اِݰکَما ݯھَموُران۔,That man's stomach is hurting.,
4,اف,af,adv,down (away from speaker),1,اُوغ اَف بیران۔,The water is flowing down.,
4,الو,alú,n,potato,1,اُلو مَدَ گلاشٹہ جَم بونی۔,Potatoes grow well in Madaglasht.,
4,الیک,alík,vt,1) to take away; (2) to marry,1,تھُویکو اَلیکو بوسا؟,Can you carry the rifle?,
4,الیک,alík,vt,1) to take away; (2) to marry,2, کُومورُو ڈقو اَلیکو نو زوئیتاے۔,The girl refused to marry the boy.,
5,امَبوہ,ambóh,adj,many,1,اَمبوہ ائیکُون نو لیتام۔,I didn't find many eggs.,
5,امو,ámu,adj,"raw, uncooked; n gap left unintentionally between furrows when plowing",1,حلوا اموُ بیراے۔,The halwa is not thoroughly cooked.,
5,امو,ámu,adj,"raw, uncooked; n gap left unintentionally between furrows when plowing",2," اَمو نو کوری ِکݰے، خاے۔","Plow without leaving any gaps, okay.",
5,ان,an,n,high mountain slopes,1,انتو سَخت ݰئیلی گَمبور یشینی۔,There are extremely beautiful flowers on the high mountain slopes.,
5,انَداو,andáʋ,n,fever,1,مہ میکی انداو ژُونی بیتی اسوُر۔,My uncle has a fever.,
5,انَزیئک,anzéik,vt,to send (non-human object),1,اوا نِݰان انزیتام۔,I sent a gift.,
5,انَزیئک,anzéik,vt,to send (non-human object),2,مہ برارمتے استور انزیتاے۔,My brother sent me a horse.,
5,انَگار,angár,n,fire,1,انگار بوغدو بیراے۔,The fire has gone out.,
5,انَگیک,angík,vt,to bring (animate or inanimate object),1,ہَسے کیہ پایسہ انگیکو بیتایا؟,Was he/she able to bring any money?,
5,اوَا,aʋá,pron,I,1,اوا ہنوُن گیتی اسوم۔,I have come today.,
5,اوچوہتی,očóhti,adv,"three days before today (day before day before yesterday) (Torkhow and Mulkhow), four days ago (Mastuj)",1,جمعہ اوچوہتی اوشوے۔,Friday was three days before today.,
5,اوچے,očé,conj,and,1,اوا اوچے مہ دینار کھاڑ ای بارَبر بیروُا۔,Would that I and my beloved were of like mind.,
5,اوݯ,oc̣,adj,"green, blue",1,گاز اوݯ بیتی شینی۔,The grass has become green.,
5,اوڑین,oɫín,n,a variety of millet,1,اوڑین ژوُتی کَہاک جم ائیکون درینی۔,"Eating millet, hens lay eggs well.",
6,اوغ,uγ,n,water,1,اُوغ لَچھُوران۔,The water is boiling.,
6,اونشٹ,õšṭ,adj,eight,1,اونشٹ انا چاے بیراے۔,Tea was eight annas.,
6,اوہتیری,ohtíri,adv,"day before yesterday (Torkhow and Mulkhow), three days ago (Mastuj)",1,اوہتیری بوݰی اوشوے۔,It rained the day before yesterday.,
6,اوہڅ,ohts,n,bear,1,اوہڅ دَوسی موچیئی۔,"Having caught a bear, to make it into a blacksmith.",
6,اہَتی,ahtí,adj,"satisfied, with a full stomach",1,اہتی نو ہوتام۔,I didn't get enough to fill my stomach.,
6,ای,i,adj,one,1,مہ اِی برار مہ سار لوٹ اِی څیق۔,One of my brothers is older than me; the other is younger.,
6,ایکَما,i kamaá,adj,"quantifier) a few, some",1,ای کما ژون نوما گونی۔,A few persons have not yet turned up.,
6,ائَیکون,aíkun,n,egg,1,کہاک ائیکون دریتاے۔,The hen laid an egg.,
6,ایَہ,áyh,adv,up (away from speaker),1,شاپیرایہ بیران۔,The wolf is going up.,
6,ایواک,iʋaák,n,root,1,ایواکان نیزی پلیتاے۔,He/She pulled out the roots and burned them.,
6,ایَی,ayí,n,snake,1," ایی بیر، بیرَماڑوتے۔",A snake goes only to its own nest.,
6,بار,bar,n,"1) load, burden; (2) skinned carcass of slaughtered animal, sent from groom’s house to bride’s house during marriage ceremonies",1,ای بار دارو شور روپیا کَونیان۔,They sell one load of wood for Rs.100.,
6,بار,bar,n,"1) load, burden; (2) skinned carcass of slaughtered animal, sent from groom’s house to bride’s house during marriage ceremonies",2,توخمیران پونج بار مݰکیتاے۔,My in-law asked for five slaughtered animals.,
7,باردوخ,bardóx,n,axe,1,باردوخو سور ادار چھینیمان۔,I am cutting wood with an axe.,
7,باریکی,baréki,adj,"thin, narrow (of long things, e.g. stick of wood, thread, path)",1,باریکی پونین چھویو کَوسین نو بوے۔,One can't walk on narrow paths at night.,
7,بازو,bazú,n,arm,1,بازوو یی درونگاوے۔,Stretch your arm a little this way.,
7,بازوَری,bazúri,n,sleeve,1,پیرانو بازوری اسکوردی بویان۔,The sleeves of the shirt are going to be short.,
7,باسبَََائسَبََاہس,baás,n,flame,1,بائس تہ پلیر۔,The flame will burn you.,
7,باو,baʋ,n,bundle (of plant parts or products),1,باو جوݰ بیشیر روپیہ۔,A bundle of fodder is twenty rupees.,
7,بپ,bap,n,old man,1,بپ لو کَیہ پراے  چوڑیتاے۔,What the old man said was very amusing.,
7,بݯھوڑ,bac̣hoóɫ,n,calf; stupid person,1,لیشو بݯھوڑو نیویریتاے۔,The cow weaned the calf.,
7,بخ,bax,n,hole,1,چایجوش بخ ہوے۔,There is a hole in the teakettle.,
7,برار,braár,n,brother,1,برارو لوڑی اسپسارو الوس۔,Look at the brother and then marry the sister.,
7,براغیئک,braγéik,vi,to bleat,1,کیڑی براغیئکو خبار ہوتام۔,When the sheep bleated I became alert.,
7,بران,bran,n,male sheep,1,انو بران ادراخہ کھل بیتی اسونی۔,Wild sheep have become extinct on the mountain slopes.,
7,برو,bru,n,eyebrows,1,برو دش روئی شینی۔,His/Her eyebrows have grown too much.,
7,بروک,bruk,n,kidney,1,بروک ݯھومیکو اسپتالوت بغاے۔,When his kidney pained him he went to the hospital.,
8,برول,brol,adj,numb,1,داربت ݯَھامیئکار اچی زخم برول ہوے۔,After hurting for a little while the wound became numb.,
8,برون,bron,n,ridge between fields,1,برونہ توری خور۔ موڑی خور۔,On top of the ridge is one thing; on the bottom is another.,
8,بریژایو,brežáyu,n,"sister-in-law (husband's sister, wife's sister, brother's wife)",1,بریژایگینی بوعزت کونی۔,Sisters-in-law pay one a lot of respect.,
8,بریک,brik,vi,to die,1,جہازار یو غیری اوبریتاے۔,He/She died in a plane crash.,
8,بریک,brik,vi,to die,2,بریک خبار کوری نو گَوے۔,Death does not inform one before coming.,
8,برینیَک,breník,vt,"to shear, cut hair",1,کیڑیان برینیتاے۔,He/She sheared the sheep.,
8,بڑَانگ,bɫaáng,n,open space/gap in a forest or hedge,1,لوو کہاکو گانی ای بڑانگین نسی ڑوپ اریر۔,The fox took the hen and escaped through a gap.,
8,بڑَڅ,bɫats,adj,"short, dwarf",1,بڑڅ ڈقان فوجہ نو گانینیان۔,They don't take short boys in the army.,
8,بڑوک,bɫok,n,bud,1,گمبوریو بڑوکان چھینیکو مو لاکے۔,Don't let anyone pick the buds of the flower.,
8,بڑیئک,baɫéik,vt,to defeat,1,پہلوان سفانتے بڑیتاے۔,The wrestler defeated all of them.,
8,بزبار,bizbár,n,eagle,1,بزبار کہاکو اواے۔,The eagle took away the hen.,
8,بس,bas,interjection,enough!; n. bus; n. day,1,بس نو ژیبومان۔,That's enough - I don't want to eat.,
8,بشار,bašár,n,"question, inquiry",1,مہ سار بشار نو اریر۔,He/She didn't ask me.,
9,بشونو,bašónu,n,song,1,پرانو بشونو روخڅونو بیتی شینی۔,The old songs have been forgotten.,
9,بݰ,baṣ,n,"part, share, portion",1,ژوروت بݰ اواے۔,He/She took her/his daughter's share to her.,
9,بݰ,baṣ,n,"part, share, portion",2,ݯھیترو جو بݰ ارینی۔,They divided the field into two parts.,
9,بݰ,baṣ,adj,"to be done, worth doing",1,دشل نَو کَوریکو بݰ۔,Verbal abuse is not worthy of being done.,
9,بݰیک,baṣék,n,trust,1,مہ سار بݰیک نو اریر۔,He/She didn't trust me.,
9,بک,buk,n,throat (from inside),1,بک ݯھموران۔,My throat is hurting.,
9,بل,bil,n,"top, lid",1,بتھالو بلو باند اروا؟,Did you close the lid of the bottle?,
9,بلپھاک,bilphák,n,hawk,1,بلپھاک کَوڑوچیو اواے۔,A hawk took away the chicken.,
9,بلپھاک,bilphák,n,lightning,1,بلپھاک کویان۔,Lightning is flashing.,
9,بلخ,blax,n,slope,1,بلخو واغ لشَٹو سارکم بوے۔,The price of sloping land is less than that of flat land.,
9,بو,bo,adv,"much, very",1,بو لو مہ خوش نو۔,I don't like too much talking.,
9,بوݯھوَݰیک,buc̣huṣík,vi,"to bloom, open (of bud)",1,بوݯھوݰیکار اچی گَمبوریو بیساوز بونی۔,After blooming a flower's seeds are formed.,
9,بوردیک,bordík,vi,to grow,1,ننو جم دیئ  اژیلی ݰاو باردور۔,"If a baby nurses well, it will grow quickly.",
9,بوَڑی,buɫí,n,birch,1,بوڑی دار کݰینی ساوزیئکوت جم۔,Birch wood is good for making plows.,
10,بوَڑیک,buɫík,vt,1) to fry; (2) to speak harshly to someone,1,پشور بوڑیکو نو اویوے۔,When he/she  fried meat he/she  did not eat it.,
10,بوَڑیک,buɫík,vt,1) to fry; (2) to speak harshly to someone,2,ملالہ گیکوتت ژاوو بوڑیتاے۔,"When the son came late, his father scolded him.",
10,بوژونی,božoní,n,"boundary line, border",1,پاکستانو اوچے افغانستانو بوژونی تورخما شیر۔,The boundary between Pakistan and Afghanistan is at Torkham.,
10,بوسک,bosk,adj,thick (of flat things like cloth),1,بوسک زپ یومونوت جم۔,Thick clothes are good for winter.,
10,بوݰیک,boṣík,vi,to rain,1,جو بسار یی باݰیران۔,It has been raining for two days.,
10,بوَغوزَو,boγúzu,n,frog,1,بوغوزو بخی بغاے۔,The frog went into a hole and vanished.,
10,بول,bol,n,"army, force",1,قدیما بول گیتی دران تالان گوراو استانی۔,In the old days armies used to plunder the houses.,
10,بول,bol,n,"army, force",2,قدیما بول گیتی دران تالان گوراوتانی۔,In the old days armies used to plunder the houses.,
10,بولموژی,bolmúži,n,earthquake,1,ہیہ سال ای دش دوڑ بولموژی اریر۔,This year there was a very severe earthquake.,
10,بولموژو,bolmúžu,n,earthquake,1,ہیہ سال ای دش دوڑ بولموژو اریر۔,This year there was a very severe earthquake.,Duplicates in the dictionary .Page 10 Right side last rows
10,بولمیژو,bolmížu,n,earthquake,1,ہیہ سال ای دش دوڑ بولمیژو اریر۔,This year there was a very severe earthquake.,
10,بوَم,buúm,n,"earth, ground",1,بوݰیکو پھولوک بوما دیتی کوئی بغاے۔,"When it rained, the drops fell on the earth and vanished.",
11,بوَمبر,búmbur,n,bumblebee,1,بومبر کہ پراے سخت ݯھمیر۔,If a bumblebee stings you it hurts severely.,
11,بومبوََریݰ,bumburéṣ,n,thunder,1,بومبوریݰ کوریکو ڈَق بہتوئیتاے۔,When it thundered the boy became frightened.,
11,بؤو,buú,n,owl,1,بوو انوسو نو پاشیر۔,Owls can't see during the day.,
11,بؤوت,boót,n,evening meal (eaten after dark),1,بوؤت ژوتی ہاتام۔,I have come after eating my evening meal.,
11,بؤوک,boók,n,wife,1,ہتوغو بوؤک پیڅھی بغاے۔,His wife left him.,
11,بؤول,boól,n,appearamce of the Pleiades and moon together,1,بوؤل بیکو چھویو سخت اݰاک بوے۔,When the Pleiades and the moon appear close to each other it is very cold on that night.,
11,بؤول,boól,n,appearamce of the Pleiades and moon together,2,بوہتین ڑووو پراے۔,He/She hit the fox with a stone.,
11,بؤول,boól,n,appearamce of the Pleiades and moon together,3,بوہتین نیتاے۔,He/She threw a stone.,
11,بوَہتوئیک,buhtuík,vi,to fear,1,ڈَق شاپیرو پوشی بوہتوئیتاے۔,The boy saw the wolf and was frightened.,
11,بوَہتوئیک,buhtuík,vi,to fear,2,شاپیر ریکو ڈَق بوہتوئیران۔,The boy is afraid of wolves.,
11,بوئیک,boík,n,bird,1,بوئیک شلیو اپھیی اوانی۔,The birds pecked the rice and took it away.,
11,بوئیک,boík,vt,to plant,1,پھوردو بوئیک مہ خوش۔,I love planting plants.,
11,بی,bi,n,seed,1,بی نو اژیتاے۔,The seed hasn't sprouted.,
11,بیچ,beč,n,aunt,1,بیچو پوشاو بی اسور۔,He/She has gone to meet his/her aunt.,
12,بیرموغ,birmóγ,n,walnut,1,ہیہ سال بیرموغان لاو بو شیر۔,This year the walnut crop is good.,
12,بیَرو,birú,n,relative,1,مہ پھتی بیرو پشاورا اباد۔,Some of my relatives are settled in Peshawar.,
12,بیری,béri,adv,outside,1,چھویو بیری نسیکو نو بویان۔,He/She can't go out at night.,
12,بیڑو,beɫú,n,"blowpipe, flute",1,بیڑوئین انگارو پھوئے۔,Blow the fire with a blowpipe.,
12,بیڑو,beɫú,n,"blowpipe, flute",2,ڈوم بیڑو بشیران۔,The Dom is playing a flute.,
12,بیڑیک,beɫík,vt,"to wrap, swaddle",1,ڈیکو بیڑی کیانی بوسان؟,Why have you wrapped your leg?,
12,بیڑیک,beɫík,vt,"to wrap, swaddle",2,ڈقو بیڑی اسوسا نو؟,Have you swaddled the boy or not?,
12,بیزار,bezár,adj,"annoyed, sick of",1,غیردی اچی گیاو مہ بیزار اریر۔,Going and coming back repeatedly he/she has annoyed me.,
12,بیزیمیک,bezemík,vt,to sell,1,ہنون کیاغ بیزیمیکو بیتاوا؟,Were you able to sell anything today?,
12,بیس,biís,n,eggs or larva of insects,1,مگاس پشورا بیس دریرو بیراے۔,Flies have laid eggs on the meat.,
12,بیشڈین,bešḍén,n,"damned, accursed place/thing (used of something strongly disliked), originally used to refer to an old graveyard, a fearsome place",1,ہیہ بیشڈینا کیہ وت خوشان نو ہوتام۔,I have never been happy in this damned place.,
12,بیشیر,bíšir,adj,twenty,1,بیشیر بٹی ژو مݰکیتاے۔,He/She asked for 20 baṭis of grain.,
12,بیک,bik,vi,"to be, become; to be able to",1,نوبیک کیہ لو۔,What utterance is not to be able.,
12,بیک,bik,vi,to go,1,بیک مݰکیسانا؟,Do you want to go?,
13,بیل,bel,n,"spade, ash scoop",1,بیلو سورا توق مت انگیے۔,Bring me some mud with a spade.,
13,بیہچیک,behčík,vi,"1) to remain, be left (behind); (2) to be tired",1,پختی بیہچیتاے۔,Rice is left.,
13,بیہچیک,behčík,vi,"1) to remain, be left (behind); (2) to be tired",2,استور بیہچیتاے۔,The horse is tired.,
13,پاٹگان,paṭigán,n,"eggplant, brinjal",1,پاٹگان شخ زوالو بوے۔,Cooked eggplant is very tasty.,
13,پاٹنَگیڑ,paṭingéɫ,n,tomato,1,پاٹنگیڑ گوغینی ہونی۔,The tomatoes have been infested by bugs.,
13,پارویزیک,parvezík,vt,1) to conclude a function or ceremony (2) to escort a departing guest to the door or road in token of regard (to see off a guest),1,خوشانیو پارویزی تھے بوغے۔,Complete the celebration and then go.,
13,پارویزیک,parvezík,vt,1) to conclude a function or ceremony (2) to escort a departing guest to the door or road in token of regard (to see off a guest),2,اوا مینوان پارویزی اچی گوم۔,I will see off the guests and come back.,
13,پاز,paz,n,chest (body part),1,داران پازہ ٹیپ کوری اواے۔,He/she took away an armful of wood.,
13,پاز,paz,n,chest (body part),2,پازو چنکوری یور انشیتاے۔,He sat bare-chested in the sun.,
13,پاغیک,paγík,vt,to sharpen (instrument or tool with blade),1,واژو پاغی الاوا؟,Have you sharpened the adze and brought it?,
13,پالم,pálum,adj,"fine, small; change (money)",1,ژوؤ پالم پیݰے۔,Grind the grain fine.,
13,پچیئک,pačéik,vt,to cook (transitive),1,یور پچیران۔,The sun is roasting me.,
13,پچھمبہ,pačhambéh,n,Thursday,1,پچھمبین نوغ دوری بینیان۔,On Thursday they are going to their new home.,
13,پختوری,paxtúri,adj; n,"sunny, sunny side of valley",1,پختوری ژغا نیامت ݰاو تریر۔,Crops ripen early in sunny places.,
14,پختی,paxtí,n,"rice (hulled, cooked), any whole boiled grain or legume",1,ژیریا پختی پچیتانی۔,They cooked rice at the celebration.,
14,پرانو,paránu,adj,old,1,پرانو ختان یو غیریتاے۔,The old house collapsed.,
14,پریچھیک,parečhík,vt,to throw away/out,1,کاغو وارغانو پریچھیتاے۔,He/She threw out the carcass of the crow.,
14,پڑَغوچھیک,puɫγočhík,vi,to become entangled in something,1,بݯھوڑ پڑغو چھیرو بیراے۔,The calf has got entangled.,
14,پژال,pažál,n,shepherd,1,پژال پایان نما انگوے۔,The shepherd hasn't yet brought the goats.,
14,پست,past,adj; adv,"low, down",1,"کھرسی ݱنگ، میز پست شیر۔",The chair is high but the table is low.,
14,پسہ,pisá,pron; adj,"you (plural); your, yours",1,پشہ کا گنی الاے؟,Who brought you?,
14,پسہ,pisá,pron; adj,"you (plural); your, yours",2,قلم پسا مہ؟,Is the pen yours or mine?,قلم پسا-مہ؟
14,پشانی,pišaní,n,forehead,1,پشانی چھوتیمان بیتی شیر۔,His/her/your forehead is smudged with dust.,
14,پشور,pušúr,n,"meat, flesh",1,پشور نو پوچیرو بیراے۔,The meat is not fully cooked.,
14,پشَین,pišín,n,afternoon (approximately 12:30 - 4:00,1,پشینو نمیژ ای بجار پروشٹی وا چور بجار اچی نو بوے۔,The afternoon prayer cannot be said before one o'clock or after four o'clock.,
14,پلمنڈوک,pulmunḍúk,n,butterfly,1,بوسون کہ ہوے پلمنڈوک گونی۔,When spring comes the butterflies come.,
14,پلَوَݰو,pulúṣu,n,flea,1,سروزو موڑا پلوݰو بوے۔,Beneath juniper trees there are usually fleas.,
15,پلوغ,palóγ,n,apple,1,پلوغان لاو نیکی۔,There is no fruit on the apple trees.,
15,پلیلی,pilíli,n,ant; child,1,پلیلی ماڑیا مہتھام خالی نو بوے۔,In an anthill death is never absent.,
15,پلیلی,pilíli,n,ant; child,2,پلیلی ڈق لہاز ہوے۔,The poor little boy got sick.,
15,پلیئک,paléik,vt,to burn,1,چائے مہ پلیتاے۔,The tea burned me.,
15,پنڈورو,pinḍóru,adj,round (of flat things),1,کغاذو پنڈورو چھینے۔,Cut the paper round.,
15,پوچیک,počík,vi,"to ripen, to be cooked",1,ٹیکی پچوران۔,Bread is cooking.,
15,پوݯ,poc̣,n,feather,1,پوݯ پولوئیکو خیر گویان۔,I smell burning feathers.,
15,پور,por,n; adv,"last year, previous year",1,پور بوݰیک نو بیتی زمین پولوئیتاے۔,"Since it didn't rain last year, the land dried up.",
15,پردوم,purdúm,n,leopard,1,مالان پردم ژیردو۔,A leopard ate the cattle.,
15,پوروََزیک,puruzík,vi,"to be finished, to come to an end",1,مہ ژیری تفہ جم بیتی پوروزیتاے۔,My festivities have come to a fine conclusion.,
15,پوروَنیک,puruník,vt,"to sieve, strain, sift",1,پیݰیرو پورونی ݰپیک کورے۔,Sift the flour and make bread.,
15,پوریک,porík,vi,"to lie down, to sleep",1,انوسو پوریک مہ کیہ خوش نو۔,I don't like to sleep during the day.,
15,پوََشی,púši,n,cat,1,پوشی ݯھیر تان مݰکیر۔,Cats want only milk.,
15,پوشیک,pošík,vt,to see,1,چھویو ݯھوغو نو پوشیتانی۔,They didn't see the thief at night.,
16,پوݰ,poṣ,n,"manure, fertilizer",1,ڈق پوݰ سیرینیاں۔,The boys are hauling manure.,
16,پوݰپ,poṣp,n,wool,1,پوݰپار شو ساوز بوے۔,From wool handloom cloth is made.,
16,پولوئیک,puluík,vi,to burn,1,پختی پولوئیرو بیراے۔,The rice is burned.,
16,پولی,púli,adj,"rotten, decomposed; chronically ill",1,پولی پلوغ تروق بوے۔,A rotten apple is bitter.,
16,پولی,púli,adj,"rotten, decomposed; chronically ill",2,پولی رویو کیہ زندگی۔,What life does a chronically ill person have?,
16,پولیک,polík,vt,"to roll, wrap",1,زپو ڈیکی پولیتام۔,I wrapped the cloth around my leg.,
16,پون,pon,n,"road, path, travel",1,پون پونا نشاو بغاتام۔,I went along sitting at many places on the road.,
16,پوندَیک,pon dik,vt,to please,1,ژیری مت کیہ پون نو پراے۔,I didn't enjoy the celebration much.,
16,پونج,ponj,adj,five,1,پونج چموٹ ایغو باہرکی نو۔,Five fingers are not equal in size.,
16,پونگ,pong,n,foot,1,پونگ بوہتہ شریخی پراے۔,I stubbed my toe on a rock and it was injured.,
16,پہان,pahán,n,bottom (of vessel),1,ٹوَنجو پہانہ بخ بیتی شیر۔,There is a hole in the bottom of the earthen vessel.,
16,پیارو,piyáru,n,desire to drink,1,اوا اوغ پیارین قاق ہوتام۔,I am completely dried out from thirst.,
16,پیارو,piyáru,n,desire to drink,2,اوغ پیارو گویان۔,I am feeling thirsty.,
16,پیٹیک,peṭék,n,"doputtah, chaddar",1,پیٹیک پردوئی اسور۔,She is wearing a dupattah.,
16,پیݯ,peč̣,adj,hot,1,چاے پیݯ بیراے۔ مہ پلیتاے۔,The tea was hot; it burned me.,
17,پیڅھیک,petshík,vt,"to leave, abandon, give up; fire (a gun)",1,تھوئیک پیڅھیتاے۔,He fired the gun.,
17,پیݰیرو,peṣíru,n,flour,1,خلتوؤ پیݰیرو شیرا؟,Is there flour in the bag?,
17,پیݰیک,peṣík,vt,to grind,1,خورا پیݰیران۔,The mill is grinding.,
17,پیَران,pirán,n,"shirt, frock",1,پیران کوموروت اسکردی اریر۔,The shirt was too short for the girl.,
17,پین,pin,adv,"intensely, fast; adj strong, excessive",1,پین دے مہ گونہ ہاے۔,He/she came to me running quickly.,
17,پینگاہ,pingáh,adv; n,day after tomorrow,1,پینگاہ حجار گویان۔,He/she is coming back from Haj the day after tomorrow.,
